trace_id,stv,anomaly_score
bb69ac6b0a461b07,"[7861, 7234, 6936, 6198, 2791, 647, 672, 2216, 688, 26, 65, 22, 870, 1687, 618, 1471, 449, 836, 551, 981, 2079, 1464, 477, 804, 2241, 400, 1405, 1237, 848, 417, 575, 380, 73]",0
08c4ef71624af32e,"[8359, 7541, 7186, 6244, 3305, 740, 2572, 621, 649, 64, 31, 57, 1195, 2007, 873, 1688, 671, 1048, 519, 1026, 2002, 1525, 2055, 749, 532, 427, 1484, 1315, 886, 407, 719, 396, 71]",0
5ccfd95564ef38db,"[8519, 7430, 7086, 6108, 2653, 1933, 734, 682, 631, 1264, 75, 1572, 29, 26, 933, 1302, 822, 727, 397, 1179, 2330, 2458, 522, 439, 1458, 1653, 613, 1477, 979, 447, 710, 443, 73]",0
897339ef06d1d903,"[8636, 8169, 7841, 6849, 3016, 1068, 903, 2245, 887, 61, 31, 1012, 1874, 56, 685, 1522, 473, 991, 404, 1102, 2097, 527, 2752, 1361, 448, 669, 1959, 1787, 1337, 653, 613, 588, 72]",0
60681dfed1e421e5,"[8326, 7959, 7606, 6712, 3007, 625, 751, 2295, 877, 53, 46, 66, 901, 1707, 608, 1470, 989, 439, 389, 902, 1709, 2591, 424, 1058, 358, 497, 1712, 1512, 477, 1128, 711, 338, 69]",0
1b637563f13a18d6,"[7859, 7397, 7009, 5946, 2553, 2044, 706, 937, 596, 992, 1666, 27, 36, 712, 22, 1409, 815, 532, 506, 896, 460, 409, 1928, 2343, 1120, 431, 1468, 1299, 939, 442, 616, 450, 71]",0
230ada57d057436d,"[7314, 6580, 6292, 5514, 2384, 699, 1715, 635, 786, 50, 43, 913, 1360, 61, 647, 1169, 792, 463, 319, 1003, 1713, 2179, 977, 351, 468, 307, 1370, 1190, 851, 425, 460, 380, 89]",0
35958ac2abb61d4e,"[8462, 7938, 7674, 6763, 3004, 948, 2225, 938, 756, 47, 34, 21, 1103, 1862, 835, 1565, 654, 925, 506, 1138, 1780, 2737, 1053, 457, 387, 320, 1880, 1714, 1212, 545, 532, 582, 71]",0
d02ffd704271162f,"[8343, 7953, 7509, 6165, 2517, 750, 635, 676, 1774, 59, 47, 40, 731, 1287, 509, 1110, 745, 377, 311, 859, 1797, 338, 294, 1204, 2435, 499, 1627, 1465, 1097, 713, 610, 290, 70]",0
b540939e17f84ec7,"[8303, 7458, 7109, 5571, 2520, 2013, 577, 833, 751, 64, 25, 23, 1147, 1593, 849, 1359, 875, 626, 389, 1300, 1932, 2077, 491, 1141, 423, 614, 1494, 1307, 911, 496, 425, 372, 87]",0
